id,name,pos,team_name,price,selected_by,status,pen1,prior,benched,minutes_season,xp_h,xp_next,p_start,games,starts_actual,value
125,Georginio,FWD,BHA,5.5,0.7,d,False,False,False,90,6.518206823532854,1.0500187703998642,0.373,6,0.3333333333333333,1.1851285133696097
126,O'Riley,MID,BHA,5.5,0.1,a,False,True,False,0,9.494909123095887,1.7457110122227155,0.457,6,0.0,1.7263471132901613
127,Gomez,MID,BHA,5.0,4.9,a,False,False,False,265,18.490147077348478,3.4602968368873643,0.757,6,1.0,3.6980294154696955
128,Buonanotte,MID,BHA,5.0,0.0,u,False,True,False,0,1.3228684744526316,0.0,0.07133333333333333,6,0.0,0.2645736948905263
129,Ayari,MID,BHA,5.4,0.4,a,False,False,False,153,13.08115245031233,2.3343443923805505,0.559,6,0.6666666666666666,2.4224356389467276
130,Wieffer,DEF,BHA,5.0,0.3,i,False,False,False,156,7.7624687110522705,0.0,0.27399999999999997,6,0.6666666666666666,1.552493742210454
131,Baleba,MID,MUN,5.0,0.1,i,False,False,False,0,1.8462155525763881,0.0,0.09533333333333333,6,0.0,0.36924311051527764
132,Howell,MID,BHA,4.5,0.0,u,False,True,False,0,0.32867531864938493,0.0,0.017333333333333333,6,0.0,0.07303895969986332
133,Watson,MID,BHA,5.0,0.0,u,False,True,False,0,1.3039645410880545,0.0,0.07133333333333333,6,0.0,0.2607929082176109
134,Oriola,MID,BHA,4.5,0.3,a,False,True,False,0,0.8255211754778629,0.14750442714224965,0.043000000000000003,6,0.0,0.18344915010619176
135,Yohanna,MID,BHA,4.9,0.1,a,False,True,False,12,1.9315815993906973,0.34578059088046736,0.10000000000000002,6,0.0,0.39420032640626473
136,Welbeck,FWD,CHE,5.9,0.8,a,False,False,False,3,10.311247231452965,1.9908163002547554,0.339,6,0.0,1.7476690222801634
137,Tzimas,FWD,BHA,5.5,0.0,i,False,True,False,0,3.115205766625178,0.0,0.13933333333333334,6,0.0,0.5664010484773051
138,Kostoulas,FWD,BHA,5.5,0.5,a,False,False,False,195,12.494126852133771,2.328417531601569,0.611,6,0.6666666666666666,2.2716594276606856
139,Ferguson,FWD,BHA,5.0,0.0,i,False,True,False,0,1.550045154559364,0.0,0.062,6,0.0,0.3100090309118728
